quote_request_id,health_data_id
1,22
1,56
2,14
2,56
3,41
3,4
4,60
4,37
5,4
5,13
6,16
6,17
7,11
7,42
8,42
8,35
9,37
9,55
10,7
10,35
11,17
11,53
12,4
12,50
13,3
13,21
14,32
14,10
15,28
15,38
16,12
16,52
17,9
17,16
18,35
18,23
19,51
19,42
20,22
20,12
21,58
21,63
22,19
22,88
23,9
23,116
24,5
24,44
25,70
25,57
26,84
26,26
27,46
27,45
28,78
28,22
29,24
29,99
30,94
30,66
31,30
31,98
32,110
32,59
33,88
33,30
34,23
34,57
35,93
35,32
36,59
36,91
37,111
37,32
38,60
38,100
39,23
39,40
40,18
40,17
81,289
81,118
82,80
82,46
83,28
83,60
84,101
84,46
85,18
85,70
86,264
86,252
87,29
87,17
88,85
88,45
89,93
89,296
90,108
90,81
91,29
91,102
92,31
92,251
93,281
93,248
94,17
94,279
95,15
95,278
96,22
96,8
97,19
97,87
98,295
98,31
99,82
99,29
100,112
100,28
101,324
101,14
102,76
102,20
103,6
103,90
104,299
104,71
105,5
105,40
106,309
106,46
107,50
107,93
108,99
108,360
109,123
109,305
110,3
110,8
111,305
111,324
112,37
112,327
113,33
113,58
114,313
114,332
115,253
115,248
116,50
116,107
117,355
117,356
118,97
118,116
119,309
119,288
120,271
120,14
121,318
121,320
122,106
122,305
123,330
123,118
124,398
124,325
125,353
125,344
126,42
126,308
127,328
127,26
128,380
128,360
129,314
129,403
130,343
130,368
131,402
131,29
132,300
132,317
133,252
133,98
134,263
134,416
135,86
135,101
136,321
136,319
137,333
137,71
138,403
138,55
139,61
139,371
140,382
140,279
